PSTL,STD
2.9222,2.1631
3.086,2.161
2.2225,2.331
2.1224,1.9434
2.8286,2.2631
2.7154,2.1616
6.9813,1.6495
2.7317,2.8077
2.3797,2.2252
2.9182,2.6332
2.2057,3.5677
2.306,2.4307
5.8489,3.1157
4.2882,6.2781
2.5362,2.4273
6.1146,7.9987
2.5451,2.6167
3.2781,3.4475
2.6363,2.7264
8.7012,2.7756
3.4276,2.6757
3.9487,2.8811
3.7568,3.2056
4.4566,5.9149
3.2056,4.1279
2.6236,3.6497
3.6455,2.0066
3.2977,4.2858
3.0085,2.7237
2.3463,2.2382
2.147,4.2645
2.5395,2.0064
1.9188,3.2264
4.7895,2.7115
2.2327,2.2505
2.8318,2.0255
2.1621,3.581
2.9463,2.097
2.289,2.188
2.5735,3.543
2.8608,3.7783
2.3701,2.6558
3.5946,2.5003
2.7159,1.9201
2.4695,2.7206
4.0308,3.1825
2.9484,2.7132
8.7733,2.0409
2.3339,2.4093
2.1279,2.6602
2.7787,2.4824
4.0713,4.0535
2.9166,2.4575
3.1403,2.6984
2.8125,5.1762
3.2948,2.013
2.7079,2.0171
1.7756,3.202
3.9345,2.2336
3.1949,1.9582
2.1474,2.0121
2.3174,2.0057
2.7096,2.8396
2.9865,2.1953
1.9345,2.1283
2.6854,2.0885
1.9163,1.8108
2.319,2.446
2.3913,2.0848
2.4379,2.2202
2.2728,1.9223
2.1663,2.0347
2.1444,2.7163
2.1384,2.0894
2.1856,2.6677
7.8844,1.8037
5.3793,3.063
2.6336,2.4052
2.8212,2.4833
2.1314,2.161
2.7058,2.3368
3.4681,1.8367
2.3119,2.4894
8.8001,2.1824
7.2213,2.3031
2.7728,2.4455
2.4298,2.1359
2.181,2.0223
2.3608,1.9944
3.2639,2.4955
2.9868,2.3972
2.2038,2.0633
2.2721,2.0447
2.4773,2.939
3.0187,2.4214
2.3372,1.8327
2.3992,2.1523
1.8996,2.2199
2.2797,2.2535
2.712,2.5684
2.4834,2.0112
2.2752,2.1042
2.7646,2.4067
1.9791,2.0922
2.3492,2.1891
2.4145,1.9869
2.0136,2.0931
2.5692,2.1651
2.4028,2.6083
2.9704,2.5966
3.1946,3.6032
2.2963,2.5494
2.9272,2.7476
2.7613,2.606
3.2805,2.3342
2.5266,2.1389
3.229,2.2396
2.7459,2.9206
2.4851,4.1989
3.34,2.5912
3.1686,4.9335
2.4848,2.3161
2.4346,2.4262
3.009,2.8651
2.3463,2.3519
2.883,2.3203
2.6497,2.5803
2.476,2.4362
2.6318,2.4823
2.5274,2.384
3.534,2.5989
3.3494,3.1419
3.7125,3.647
3.1018,2.71
2.6214,3.2518
2.2516,1.9987
3.1229,2.4467
2.3724,2.6287
2.577,2.5985
3.811,2.4588
2.7788,2.3504
3.423,2.3565
2.6353,3.8168
2.6686,2.688
2.9161,2.9521
3.1982,2.9953
2.6411,2.577
5.0525,2.2419
2.6067,2.7565
2.6785,2.8318
3.3145,3.0113
2.5169,2.9573
2.5091,3.0206
3.0711,2.9899
2.1808,2.3571
2.6041,2.448
4.0823,3.6405
6.1933,2.2113
2.2907,2.2639
2.6568,2.2739
3.1516,3.4996
2.6866,3.4412
4.0531,2.9278
3.5178,2.9396
3.1748,2.8675
6.0049,3.9797
8.0403,2.6316
5.8001,3.5148
9.0682,3.9133
13.1154,2.729
9.6437,3.484
3.5148,3.8908
8.7852,2.7485
3.5151,3.4251
3.3179,3.0153
2.8485,2.4814
2.835,3.381
3.6636,4.3079
5.7034,2.5668
5.1706,2.5186
2.6616,2.5968
2.5271,2.7861
2.9292,3.0627
2.9768,3.4035
3.0332,2.3684
2.5888,2.1495
2.7547,2.8065
2.9573,3.0055
2.8788,2.7552
2.8436,2.6434
2.7908,2.9246
3.4063,3.1556
3.4994,3.2223
3.1291,2.6626
3.4364,2.2976
3.8957,3.6806
2.9874,2.4972
6.2347,2.4096
7.8877,2.4268
9.1,2.1965
3.4089,3.1562
3.623,4.9134
4.8082,2.9585
10.5807,2.5695
3.5919,2.8747
8.7758,1.9576
3.365,3.5538
9.1573,2.0443
2.9887,3.238
3.5596,2.2759
2.9725,3.0841
2.333,2.3688
5.3948,3.2151
3.215,4.1322
9.9056,3.7377
2.8253,2.5354
5.9073,2.7194
6.9786,5.3667
5.4784,5.4112
6.37,2.6111
3.1015,3.6128
2.7082,2.8729
3.5257,3.3159
2.7101,3.3754
2.3373,2.137
3.0312,3.057
3.1464,2.5182
3.3518,2.5502
3.1062,2.5535
8.2565,2.7463
7.6084,2.174
2.9739,2.5793
3.5076,2.2885
6.7274,2.1829
6.6605,2.1549
3.4987,2.9237
2.9144,2.4214
3.7155,3.6311
4.033,3.3938
6.1142,3.2496
2.7032,2.7614
3.152,2.995
3.4978,5.8296
9.5615,7.2667
4.549,3.088
2.9557,2.7342
2.6928,2.5531
3.365,2.3507
3.4473,7.9679
3.646,9.8033
3.6798,11.1025
4.6903,5.7289
2.532,12.8118
3.117,8.2041
5.4761,7.7838
4.6388,5.8406
2.9689,9.5661
3.5924,11.155
2.5675,7.7436
2.9267,7.9949
3.0262,2.7078
3.1469,3.1744
2.5153,3.8995
2.696,2.4951
2.6595,5.5361
3.0612,8.0007
3.0661,8.9528
3.3309,4.8177
2.4639,2.3913
2.4999,2.3938
2.9122,2.3232
2.5981,2.6388
2.2935,2.3666
2.8761,2.4095
3.0604,2.154
3.1188,2.6446
3.167,2.9192
2.5045,2.5984
2.6979,2.5667
3.7817,2.8639
3.0605,3.9162
3.1125,2.7157
5.4701,3.2018
4.2325,2.4929
6.5012,2.0488
3.469,2.2994
2.9518,2.4232
2.4955,2.6172
2.9668,2.7095
10.1134,1.9839
2.7359,4.3525
8.0195,1.9545
6.5547,2.0277
2.7137,2.4455
3.1416,2.2762
4.6942,2.4405
3.0816,5.1996
2.2204,2.9931
2.4966,2.3396
4.4367,3.0902
5.0385,2.3789
7.4813,1.8843
2.6388,2.3242
2.3048,2.0889
3.7389,3.0284
2.6432,3.2064
3.6697,5.1409
2.8913,2.2779
2.7774,3.4204
3.096,2.6208
8.1334,2.3246
7.5507,4.2765
4.2855,3.1134
8.56,2.4049
7.8641,4.0964
2.5624,2.2368
2.3423,2.1798
3.1266,2.3476
2.5326,2.3063
2.5886,2.6358
3.3197,5.1707
4.0583,4.1213
3.8068,2.7908
3.228,2.7014
4.3252,3.2687
3.4697,2.8291
3.9948,2.4771
6.3579,2.2664
2.6207,2.3727
2.8572,3.2068
3.3927,2.9688
2.9696,2.4038
2.5333,2.7546
2.6518,2.6504
2.6122,2.1997
2.6024,2.4942
2.27,2.4257
6.4056,2.2987
2.637,2.7908
2.364,2.7735
3.0927,2.8481
3.9324,2.379
2.6347,2.6258
3.0886,2.8323
6.2349,2.3206
2.4377,2.1956
2.5252,2.4352
3.1233,2.3909
3.1042,2.5709
3.0306,3.5829
5.2622,3.9752
2.6505,2.0811
2.5775,2.6183
2.7563,2.3898
2.962,2.8078
2.5436,2.6215
2.8115,2.6238
5.7267,4.0793
2.8001,2.3219
2.6267,2.3409
2.5444,2.6938
2.7126,2.4
2.9055,2.8659
2.6132,2.3477
2.9368,2.3848
2.5638,3.1418
5.2182,3.1988
2.6735,2.3293
2.8384,3.883
2.5555,2.6114
2.7996,2.7111
2.3042,3.0066
3.1678,3.2302
3.6903,2.8072
3.0676,3.6425
3.0508,3.0543
10.4462,3.7192
3.1914,2.8905
3.1819,4.6202
2.5703,2.5086
3.5123,2.936
3.6003,3.3828
4.7575,2.1969
3.1814,2.8106
13.6438,2.4086
3.4134,3.255
2.6821,4.3561
3.0131,3.1223
7.8526,2.1749
6.9349,2.9996
8.2713,2.5861
11.9347,2.5283
2.7192,3.1623
2.4879,2.3765
7.4018,2.2211
3.0741,2.6653
3.7339,3.2401
3.1709,3.9299
5.9775,2.222
3.1795,3.0235
2.742,3.1832
3.3033,4.7457
7.6574,2.1622
7.894,2.2829
2.7926,2.3777
3.6921,3.1229
2.9385,3.4402
2.3772,2.3357
3.2933,3.1179
2.3262,2.3851
7.4126,2.5748
6.7744,2.3332
6.9837,2.668
6.7828,2.4174
7.058,2.4699
6.6983,2.8272
3.3288,3.217
4.6232,2.8021
3.0037,2.3734
2.5015,2.3835
3.3726,3.1362
2.401,2.6186
3.4912,3.1871
2.838,2.9146
5.3348,2.3193
2.4657,3.3784
2.5423,2.3684
2.5899,3.2851
4.3576,3.3683
2.9808,2.8672
3.1956,3.0523
2.5934,4.7631
2.6638,2.3711
2.3086,2.5381
3.6612,2.4376
2.3862,2.4475
3.3119,2.3157
2.2707,2.7175
3.0489,2.7617
2.6706,2.7489
3.5674,3.0707
3.7039,2.6065
2.8882,3.1936
6.5608,2.5468
3.0341,3.8003
7.3658,1.9052
3.5871,4.4363
3.4325,3.1788
2.8373,6.9492
2.6251,3.9045
2.8341,2.2522
2.9829,3.7298
7.4878,2.0508
7.1463,2.3866
2.7982,2.2265
6.4554,2.1256
2.7487,2.4076
6.2383,2.081
3.3176,2.2771
2.7626,2.8141
2.5737,2.4405
2.6229,2.3629
2.5099,2.4955
2.7037,2.7706
3.3951,2.6732
2.8137,2.5672
2.8568,2.2667
2.5456,2.4113
2.8805,2.4669
2.3896,2.2896
6.2943,2.0029
6.4555,1.981
4.5606,3.8788
6.8146,4.9625
2.5932,2.8376
2.5296,2.017
3.0156,5.2217
2.8244,2.7463
3.0771,4.7178
2.9991,2.413
2.459,2.4992
2.53,2.2995
3.5512,2.7981
3.0179,2.9248
5.1448,5.137
3.2948,2.5581
2.6476,2.5278
2.5471,2.7032
2.7896,2.6122
3.1043,2.5098
2.7304,2.344
2.545,2.3745
2.7113,2.3102
2.5109,2.3791
2.3741,2.2534
2.7567,2.912
9.048,5.302
2.9504,2.8946
3.233,2.5046
3.4619,2.9855
3.3258,2.736
3.1047,3.1575
3.0854,3.037
2.667,3.1557
3.3912,2.549
3.973,2.552
3.4024,3.1183
2.497,2.9758
3.0842,2.5773
3.0629,2.5031
2.8451,2.6757
2.5157,2.4635
3.2134,2.7789
3.0359,2.7526
2.5462,2.3709
2.9888,2.1382
2.6376,2.6509
2.5341,2.4287
2.9964,2.3672
3.1092,2.5032
2.7306,2.6814
2.9742,2.4583
2.9914,2.501
3.616,2.3293
6.4127,2.1503
7.3025,2.2575
3.3825,3.0211
3.0022,3.0207
4.139,2.192
2.5106,3.0022
2.6098,2.387
2.8828,2.4055
2.4066,2.3911
2.6967,2.2274
4.4594,2.8509
3.0789,3.0714
12.3383,1.8985
2.4694,2.4637
3.3789,3.1325
2.7817,2.4193
2.8944,2.7807
2.4429,2.5225
2.7718,2.3371
2.4281,2.3717
2.999,2.3478
2.8919,2.7521
2.9178,3.0224
5.8953,2.0138
2.535,2.3523
2.5424,2.3603
6.5642,1.9571
2.8195,2.3811
2.5045,2.2611
3.3325,3.3914
2.9025,2.778
3.0052,2.6268
2.5187,2.3889
2.5731,2.7282
2.6516,4.9716
2.7201,6.2114
2.1364,6.9706
2.57,6.7412
2.5507,7.4079
2.2179,4.8509
2.8766,8.0499
2.1281,4.9259
2.7022,6.5305
2.2043,3.9028
2.2273,6.2509
2.4243,6.573
2.5219,8.7696
2.0845,6.8081
1.9961,2.4407
2.7299,7.5764
2.2598,3.9245
2.125,7.7134
2.1841,6.3403
2.4024,7.019
2.1785,7.0999
2.4557,7.5585
2.6362,6.3747
3.5202,2.5463
3.059,2.5764
4.7487,2.8798
2.8223,2.7223
2.5297,2.5781
3.7588,2.9672
2.855,2.8834
3.7923,3.1316
5.2435,2.397
5.2362,2.4179
4.0642,3.6172
3.4363,3.1566
3.9709,11.6369
3.5423,3.2765
3.9773,2.5538
2.6628,3.6023
3.2691,3.0967
9.9503,2.7626
6.9316,2.8848
7.2766,2.997
7.7031,2.1805
7.7841,2.4713
6.6105,2.4971
7.1627,2.0605
7.0183,2.4882
7.4323,1.9932
2.6574,2.4152
2.6474,2.3789
2.6657,2.4755
6.9297,1.9086
6.3813,2.056
6.887,2.0512
6.3951,2.2738
2.5559,2.1786
2.6606,2.325
2.6326,2.314
2.2433,2.2972
3.0742,2.6227
2.7899,2.6434
3.5222,2.3682
2.4515,2.8945
2.7548,2.5771
2.5467,2.6778
2.5321,2.2939
2.8694,2.6963
2.7003,2.4174
2.828,2.522
2.3517,2.2983
2.4778,2.518
2.6415,2.3676
6.7629,1.9423
2.4695,2.1808
2.3911,2.3205
3.0365,1.9392
2.3887,2.1292
2.8279,2.2925
2.4191,2.2269
6.4977,1.8639
2.4868,2.1807
2.5093,2.7501
2.6484,2.4231
5.2467,2.5396
2.6379,2.1983
2.3292,2.2325
2.6019,2.2013
2.586,2.3042
5.6664,1.9358
2.5351,2.3248
2.455,2.3159
2.7492,2.3096
6.9534,1.8336
3.1203,3.0958
6.8168,1.9061
2.3467,2.2207
4.5941,2.2294
3.1894,2.7444
2.7559,2.216
2.5467,2.1423
8.0622,1.8266
6.594,1.936
8.2304,1.7654
2.6397,2.1749
2.1486,1.8621
2.1738,2.2639
6.7847,1.895
2.3893,2.536
4.9266,1.8817
2.7639,2.3451
2.6903,2.187
4.481,2.4038
2.4067,2.1995
2.5093,2.0102
3.1127,2.4907
2.946,2.4118
2.9953,2.091
2.3571,2.4551
2.3836,2.1881
2.3851,2.4715
2.4658,2.2622
2.6506,2.1945
2.6425,2.4948
2.5409,2.1526
2.7245,2.6724
3.1682,2.788
2.3542,1.9379
2.7351,2.1783
6.2392,2.39
2.4073,2.101
2.2571,2.7778
5.9298,1.9386
5.9087,1.9556
7.5683,1.9253
7.3177,1.9678
2.5007,2.2519
2.0126,2.0729
2.6679,2.208
2.1935,2.4065
5.9159,1.9361
2.4248,2.2773
6.7903,2.2426
2.4298,2.3573
2.6072,2.1166
2.6384,2.3172
2.4665,2.1825
2.6749,2.4623
2.6629,2.5689
3.9155,2.1025
6.8654,2.1221
2.8749,2.8349
2.9731,2.2945
2.596,2.2614
2.17,2.4394
2.7423,2.1977
5.5919,2.2267
2.5882,2.3832
2.273,2.1901
2.4138,2.1691
2.0559,2.1263
2.5076,2.3548
2.6399,1.9877
7.2907,1.9829
2.3633,2.3851
2.7215,4.7596
2.1716,6.9235
2.228,6.1708
2.1724,6.3547
2.1793,8.2276
2.375,8.8919
2.274,6.4148
2.2557,2.4922
2.8703,2.6953
2.5899,2.3432
2.5206,2.0212
2.6671,2.3973
2.5138,1.9779
2.2369,2.2678
3.0579,2.6968
2.6791,2.7595
6.7892,2.056
8.7819,2.6569
2.6181,2.7211
7.6914,2.3055
2.5579,6.5098
2.3779,7.1772
2.8085,7.4024
2.2082,2.2652
2.6961,2.239
2.4937,2.3503
2.7877,2.5734
2.6484,2.321
2.6179,2.2623
2.5854,2.3362
4.652,2.2803
2.5857,2.5364
5.6275,2.6176
2.7782,2.2449
2.2132,2.2214
2.7681,2.3867
2.1112,2.2696
2.6483,2.5112
2.0697,2.3657
2.5709,2.2057
2.6218,2.4144
2.9016,2.244
2.5352,2.423
3.2743,2.2044
2.2532,2.3174
2.8606,2.5978
2.7454,2.3612
2.4757,2.4131
2.4613,2.2834
2.5851,2.623
2.3996,2.3528
2.5957,2.4347
2.516,2.3093
2.5531,2.519
2.8163,2.2327
3.9474,2.1998
2.4007,2.2927
2.6098,2.4272
2.2151,2.2214
2.5834,2.1435
2.105,2.201
2.4923,2.8015
2.2336,2.6604
2.3614,2.2665
2.4305,2.2643
2.4904,2.5721
2.7171,2.2671
3.1739,2.1615
2.5504,2.403
3.0915,2.5229
2.5524,1.9933
2.8675,2.1645
2.372,2.6411
3.3894,2.2867
6.3797,2.2904
6.2309,1.9337
2.4402,2.5603
7.2428,2.3328
3.2601,2.8135
2.261,2.4462
3.1721,2.2674
3.1101,3.5023
7.5125,1.9138
6.9637,2.9506
8.652,1.9202
2.6396,2.3305
2.1197,2.2838
2.4735,2.6207
3.1771,3.5686
2.3498,6.7693
2.3418,2.7784
9.6504,2.013
2.2619,2.5215
3.542,2.8904
6.9167,2.0386
2.5325,2.9086
3.391,3.1561
3.6643,2.3602
2.2058,2.5136
2.6283,3.5644
2.828,2.634
2.9649,2.4246
2.9286,2.9254
2.5131,2.4273
2.9733,2.4183
2.4821,2.3032
3.1818,3.1187
2.421,2.8728
2.6102,2.6724
3.8992,2.8648
2.3561,2.7003
2.9375,3.8166
2.8776,3.3538
2.8287,2.3736
3.2512,2.636
2.5518,2.2923
2.6158,2.2991
2.4578,2.5952
2.6624,2.4324
3.1312,2.5859
2.487,2.5661
3.1628,2.4181
2.4299,2.7046
2.7854,2.6676
3.3269,3.2434
2.8806,2.4846
2.27,2.6747
2.5621,2.1494
2.9391,2.5056
2.6112,2.581
3.0709,2.2781
2.5303,2.5651
2.6466,2.3563
2.5953,2.4376
3.1606,2.9086
2.4756,2.1839
2.5191,2.259
2.566,2.3853
2.6959,2.2096
2.6984,2.3946
3.418,3.078
2.4513,2.6477
2.5756,2.494
3.0038,2.3365
2.3577,2.0276
3.1085,2.9271
2.7028,2.4283
2.4642,2.5542
2.7054,2.3879
2.7233,2.3378
2.6737,2.6072
2.8622,2.5348
2.6974,2.4721
4.928,2.1965
2.4446,2.29
2.5328,2.213
3.1639,2.6375
2.4049,2.1535
2.6107,2.2207
2.591,2.1337
6.0162,1.9037
2.5562,2.3158
2.7187,2.6879
6.1896,2.1129
2.5481,2.1531
7.4663,2.1767
2.5421,2.1707
2.5985,2.3112
6.3196,1.9839
7.963,1.9217
6.3028,2.0619
7.1236,1.7748
2.3822,2.176
2.2358,2.407
3.0054,2.8619
2.3367,2.1782
2.5496,2.3247
7.3686,1.8394
2.7658,2.4937
5.1877,2.4016
2.4471,2.1986
2.3541,2.4732
2.2729,2.4035
6.6552,2.3298
2.4694,2.1115
7.453,1.9523
2.4367,2.2637
2.2516,2.0054
2.3307,2.5192
2.5849,3.0137
2.4269,2.2849
2.2192,2.3063
2.7459,2.1407
2.4984,2.4239
3.6248,4.3486
2.6688,6.0219
2.4293,6.8097
2.4704,6.8243
2.3926,7.711
2.3845,7.3367
2.3349,7.762
2.3123,6.4938
2.1058,7.4891
2.0845,5.81
2.4025,6.7654
2.5766,2.3407
2.3624,2.3967
2.6815,2.393
2.4993,2.4086
2.1755,2.213
2.614,2.2177
2.3929,1.9631
2.7446,2.311
3.0073,2.2923
2.8156,2.1497
2.3587,2.3772
2.5218,2.4655
2.8793,2.6832
2.2831,2.2663
2.5173,2.7791
2.8337,2.1937
2.5592,2.224
2.3901,2.2667
2.3061,1.9973
2.6184,2.337
7.6437,1.8999
2.597,2.2316
2.4311,2.3624
2.8533,2.3246
2.5191,2.265
2.4736,2.3543
2.5317,2.2231
2.6176,2.2816
2.3569,2.0996
2.4344,2.2654
2.2041,2.4853
2.4075,2.1164
2.1116,2.351
2.4793,2.2553
2.3964,2.257
2.3845,2.3789
2.5555,2.2717
2.3578,2.1494
2.4742,2.1822
2.3804,2.2975
2.8235,2.1079
6.6576,2.4633
7.107,1.8671
2.1414,2.1704
2.4803,2.1984
2.3663,2.3108
2.0171,2.1322
2.5061,2.2134
2.4001,2.1715
2.6503,2.7004
2.4638,2.3316
2.7687,2.7462
2.7031,2.3913
2.6682,2.5786
2.9163,2.512
2.9437,2.4261
2.7174,2.5492
2.8058,2.5916
2.4382,2.1661
2.6384,2.1814
2.4308,2.67
2.6305,2.2448
2.642,2.2727
2.6326,2.2062
2.4798,2.4519
2.6541,2.2443
3.2565,2.3568
2.3907,2.2335
2.4517,2.2656
2.5601,2.0597
2.3075,2.3044
2.6807,2.246
